batting_team,bowling_team,venue,toss_winner,toss_decision,overs,balls,current_score,wickets,batting_team_form,bowling_team_form,head_to_head,key_batsman_form,key_bowler_form,venue_factor,final_score
Punjab Kings,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,bat,18,5,175,8,0.7293531163080893,0.40101292414303197,0.5151907494196337,0.9411581092914897,0.49816459462149976,1.217703486826493,183
Lucknow Super Giants,Chennai Super Kings,Feroz Shah Kotla,Lucknow Super Giants,bat,11,3,75,7,0.8494094775810019,0.4180525713576846,0.6818563375596304,0.7871312125597583,0.6558631584969681,1.2284223162461354,127
Kolkata Knight Riders,Lucknow Super Giants,Feroz Shah Kotla,Lucknow Super Giants,bat,11,3,96,1,0.43057537831843895,0.5537175037942579,0.4707813679765345,0.8568724784328243,0.7191299272973577,0.8890969147556511,165
Chennai Super Kings,Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Royal Challengers Bangalore,bat,12,4,112,4,0.3010138954734092,0.7185019360567764,0.40112687359254917,0.8332149604228688,0.773219451708078,1.1823778284640232,164
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,Punjab Kings,field,16,1,188,4,0.34208423308277486,0.5727629876578813,0.27615538458989475,0.7527920944510347,0.5520525061126614,1.1973332982831755,222
Kolkata Knight Riders,Delhi Capitals,Wankhede Stadium,Kolkata Knight Riders,field,14,4,139,4,0.6451772719784823,0.8943145943923716,0.640065625380535,0.5068009136467564,0.7770263345196917,0.8511221753759393,180
Punjab Kings,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,bat,11,3,75,8,0.367278773265618,0.36221873288338957,0.48153324418167026,0.4895966172284394,0.7774561093517212,0.7724822343234896,135
Royal Challengers Bangalore,Mumbai Indians,Ekana Cricket Stadium,Royal Challengers Bangalore,bat,18,2,128,10,0.7083954540501745,0.36959350886182707,0.6285102312590521,0.43397300693909796,0.451844500441345,1.24354975042115,138
Lucknow Super Giants,Chennai Super Kings,Rajiv Gandhi International Stadium,Lucknow Super Giants,bat,5,4,29,10,0.5578454641138209,0.5290756541276,0.4090490523380205,0.48657066678959215,0.6700112957607247,0.7087001663755096,103
Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,Delhi Capitals,field,10,0,87,7,0.35225943437489726,0.510609290417828,0.48360068083548985,0.8183178206125807,0.6426160225298755,0.7229279874225474,151
Gujarat Titans,Punjab Kings,Ekana Cricket Stadium,Gujarat Titans,field,19,4,182,6,0.30782639546188595,0.8112112695288742,0.33231478812696713,0.40961631583486746,0.7478078874496592,0.7158476778989781,183
Royal Challengers Bangalore,Mumbai Indians,Eden Gardens,Mumbai Indians,bat,13,3,125,2,0.5838159616355256,0.6597551689039909,0.640361377109006,0.5980319588019997,0.5632456494055156,1.079081357372364,180
Lucknow Super Giants,Chennai Super Kings,M. A. Chidambaram Stadium,Lucknow Super Giants,field,8,0,74,2,0.35636618998117064,0.6603485294542446,0.7250607362221981,0.8541924060277677,0.6946677619068892,0.7779881464500115,203
Rajasthan Royals,Punjab Kings,Ekana Cricket Stadium,Punjab Kings,bat,16,4,165,2,0.8859863583595249,0.5769900990209086,0.5964059459218294,0.7039862122739398,0.5164450570155742,0.8860210905540684,203
